Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Arthritis,swelling,fatigue,warmth in joints,stiffness,,,
Gastroenteritis,fatigue,diarrhea,loss of appetite,fever,vomiting,stomach cramps,
Gastroenteritis,stomach cramps,vomiting,diarrhea,,,,
Common Cold,sneezing,cough,sore throat,,,,
Urinary Tract Infection,pelvic pain,cloudy urine,burning urination,frequent urination,,,
Measles,fatigue,fever,runny nose,red eyes,cough,,
Typhoid,loss of appetite,constipation,stomach pain,,,,
Migraine,vomiting,blurred vision,severe headache,,,,
Appendicitis,bloating,nausea,loss of appetite,severe abdominal pain,,,
Migraine,sensitivity to sound,blurred vision,nausea,vomiting,,,
Typhoid,constipation,diarrhea,high fever,loss of appetite,weakness,,
Diabetes,weight loss,blurred vision,numbness in feet,slow healing wounds,excessive thirst,fatigue,frequent urination
COVID-19,fever,fatigue,loss of smell,cough,body aches,shortness of breath,headache
Dengue Fever,rash,nausea,severe headache,,,,
Dengue Fever,muscle pain,vomiting,fatigue,,,,
Hepatitis B,fatigue,joint pain,dark urine,nausea,jaundice,abdominal pain,
Common Cold,fatigue,sore throat,congestion,runny nose,cough,,
Asthma,shortness of breath,wheezing,fatigue,chest tightness,coughing,,
Chicken Pox,itchiness,fever,blisters,loss of appetite,,,
Hypertension,dizziness,chest pain,fatigue,blurred vision,nosebleed,headache,shortness of breath
Urinary Tract Infection,pelvic pain,frequent urination,fever,cloudy urine,burning urination,chills,
Asthma,wheezing,fatigue,coughing,shortness of breath,,,
Malaria,muscle pain,fatigue,vomiting,,,,
Common Cold,mild fever,congestion,cough,runny nose,fatigue,sore throat,
Pneumonia,cough,chills,fever,shortness of breath,,,
Common Cold,runny nose,sneezing,congestion,sore throat,cough,mild fever,
Anemia,weakness,cold hands,pale skin,fatigue,,,
Appendicitis,fever,loss of appetite,vomiting,bloating,,,
Tuberculosis,chest pain,persistent cough,fever,night sweats,weight loss,,
Chicken Pox,itchiness,headache,rash,blisters,,,
Influenza,fever,body aches,sore throat,headache,,,
Urinary Tract Infection,chills,burning urination,frequent urination,fever,,,
Hypertension,chest pain,nosebleed,blurred vision,fatigue,dizziness,headache,shortness of breath
Hypertension,chest pain,fatigue,headache,,,,
Diabetes,frequent urination,fatigue,excessive thirst,blurred vision,slow healing wounds,weight loss,
Hepatitis B,nausea,jaundice,vomiting,fatigue,,,
Tuberculosis,coughing up blood,fatigue,chest pain,fever,persistent cough,weight loss,
Influenza,runny nose,fatigue,chills,body aches,fever,cough,
Pneumonia,cough,chest pain,fever,fatigue,,,
Hepatitis B,vomiting,joint pain,dark urine,abdominal pain,fatigue,jaundice,nausea
Common Cold,cough,runny nose,sore throat,congestion,fatigue,,
Anemia,pale skin,shortness of breath,fatigue,weakness,,,
Hypertension,dizziness,nosebleed,headache,blurred vision,,,
Asthma,shortness of breath,fatigue,chest tightness,,,,
Hypertension,chest pain,nosebleed,headache,shortness of breath,,,
Urinary Tract Infection,chills,cloudy urine,pelvic pain,fever,burning urination,frequent urination,
Pneumonia,fever,rapid breathing,cough,chills,fatigue,shortness of breath,
Measles,sensitivity to light,fatigue,rash,cough,,,
Anemia,pale skin,chest pain,cold hands,shortness of breath,fatigue,dizziness,
Pneumonia,fever,chest pain,rapid breathing,fatigue,cough,,
Malaria,nausea,headache,fever,,,,
Diabetes,blurred vision,numbness in feet,frequent urination,,,,
Tuberculosis,coughing up blood,chest pain,persistent cough,fatigue,fever,,
Common Cold,sneezing,congestion,runny nose,sore throat,cough,,
Malaria,fatigue,nausea,headache,fever,muscle pain,,
Influenza,chills,sore throat,fever,body aches,,,
Diabetes,slow healing wounds,fatigue,numbness in feet,weight loss,blurred vision,frequent urination,excessive thirst
Gastroenteritis,nausea,vomiting,fever,,,,
Tuberculosis,coughing up blood,fever,persistent cough,weight loss,,,
Urinary Tract Infection,burning urination,fever,cloudy urine,frequent urination,pelvic pain,chills,
Diabetes,fatigue,blurred vision,excessive thirst,slow healing wounds,numbness in feet,weight loss,
Hypertension,dizziness,blurred vision,shortness of breath,headache,chest pain,nosebleed,
Typhoid,stomach pain,headache,diarrhea,,,,
Hepatitis B,nausea,vomiting,dark urine,jaundice,,,
Appendicitis,nausea,severe abdominal pain,loss of appetite,vomiting,fever,bloating,
Common Cold,cough,sore throat,congestion,,,,
COVID-19,shortness of breath,body aches,loss of taste,headache,loss of smell,fever,fatigue
Anemia,shortness of breath,weakness,chest pain,pale skin,fatigue,dizziness,
Typhoid,headache,weakness,stomach pain,,,,
Hepatitis B,abdominal pain,dark urine,joint pain,jaundice,fatigue,nausea,
Malaria,muscle pain,fever,fatigue,,,,
Appendicitis,fever,bloating,vomiting,severe abdominal pain,loss of appetite,nausea,
Arthritis,swelling,stiffness,reduced range of motion,,,,
Influenza,sore throat,chills,cough,body aches,runny nose,,
Dengue Fever,fatigue,vomiting,high fever,rash,,,
Tuberculosis,fever,chest pain,persistent cough,weight loss,coughing up blood,night sweats,
Appendicitis,vomiting,severe abdominal pain,loss of appetite,fever,,,
Anemia,chest pain,dizziness,fatigue,weakness,pale skin,,
Chicken Pox,itchiness,fever,loss of appetite,fatigue,,,
Arthritis,stiffness,joint pain,fatigue,swelling,reduced range of motion,warmth in joints,
Anemia,pale skin,fatigue,weakness,cold hands,chest pain,,
Gastroenteritis,fever,fatigue,vomiting,diarrhea,loss of appetite,stomach cramps,nausea
Dengue Fever,fatigue,nausea,joint pain,muscle pain,rash,vomiting,severe headache
Common Cold,congestion,mild fever,sore throat,runny nose,sneezing,,
Malaria,fatigue,fever,muscle pain,vomiting,chills,nausea,sweating
Tuberculosis,night sweats,coughing up blood,persistent cough,,,,
Influenza,body aches,fatigue,runny nose,chills,fever,cough,
Appendicitis,fever,nausea,bloating,vomiting,loss of appetite,severe abdominal pain,
Influenza,chills,body aches,sore throat,runny nose,fever,fatigue,
Migraine,blurred vision,nausea,sensitivity to sound,vomiting,fatigue,,
Pneumonia,rapid breathing,chills,fever,chest pain,fatigue,shortness of breath,
Influenza,headache,runny nose,chills,fatigue,body aches,cough,
Arthritis,stiffness,warmth in joints,reduced range of motion,joint pain,swelling,,
Anemia,cold hands,chest pain,pale skin,,,,
Gastroenteritis,diarrhea,vomiting,loss of appetite,nausea,stomach cramps,,
Asthma,coughing,chest tightness,shortness of breath,fatigue,wheezing,,
Measles,fatigue,sensitivity to light,red eyes,cough,fever,,
Diabetes,slow healing wounds,weight loss,excessive thirst,frequent urination,numbness in feet,blurred vision,
Anemia,chest pain,cold hands,fatigue,,,,
Urinary Tract Infection,cloudy urine,fever,burning urination,chills,frequent urination,,
Diabetes,slow healing wounds,numbness in feet,blurred vision,frequent urination,excessive thirst,,
Arthritis,fatigue,swelling,reduced range of motion,,,,
Influenza,chills,headache,body aches,runny nose,,,
Appendicitis,vomiting,fever,severe abdominal pain,nausea,bloating,,
Asthma,fatigue,coughing,chest tightness,wheezing,,,
COVID-19,shortness of breath,loss of smell,cough,fever,fatigue,body aches,headache
Hypertension,chest pain,headache,nosebleed,,,,
Dengue Fever,fatigue,vomiting,muscle pain,nausea,severe headache,joint pain,
Malaria,muscle pain,nausea,chills,vomiting,fever,,
Dengue Fever,joint pain,nausea,vomiting,high fever,,,
Asthma,coughing,wheezing,fatigue,shortness of breath,,,
Dengue Fever,vomiting,nausea,rash,joint pain,muscle pain,high fever,
Diabetes,weight loss,slow healing wounds,fatigue,frequent urination,,,
Measles,rash,fatigue,cough,,,,
Chicken Pox,fatigue,itchiness,blisters,loss of appetite,fever,,
Arthritis,stiffness,joint pain,warmth in joints,fatigue,,,
Migraine,fatigue,nausea,blurred vision,severe headache,sensitivity to light,vomiting,sensitivity to sound
Tuberculosis,fever,fatigue,persistent cough,night sweats,coughing up blood,,
Hypertension,chest pain,dizziness,shortness of breath,nosebleed,,,
Malaria,nausea,fatigue,headache,muscle pain,chills,sweating,fever
Gastroenteritis,diarrhea,loss of appetite,vomiting,stomach cramps,nausea,fever,fatigue
COVID-19,cough,fever,shortness of breath,fatigue,,,
Tuberculosis,fatigue,night sweats,persistent cough,,,,
Arthritis,swelling,reduced range of motion,fatigue,,,,
Arthritis,warmth in joints,stiffness,fatigue,reduced range of motion,joint pain,swelling,
COVID-19,shortness of breath,body aches,cough,loss of taste,fatigue,loss of smell,headache
Gastroenteritis,vomiting,diarrhea,nausea,fatigue,loss of appetite,fever,
Urinary Tract Infection,cloudy urine,pelvic pain,burning urination,,,,
Chicken Pox,itchiness,blisters,loss of appetite,fatigue,,,
Diabetes,excessive thirst,slow healing wounds,blurred vision,frequent urination,,,
Measles,cough,runny nose,fever,red eyes,rash,,
Pneumonia,shortness of breath,chest pain,fatigue,rapid breathing,chills,,
Arthritis,joint pain,swelling,reduced range of motion,warmth in joints,fatigue,,
Tuberculosis,fever,fatigue,night sweats,,,,
Gastroenteritis,fever,diarrhea,loss of appetite,stomach cramps,,,
Arthritis,warmth in joints,reduced range of motion,stiffness,swelling,fatigue,,
Pneumonia,shortness of breath,cough,fever,fatigue,chills,,
Malaria,chills,sweating,headache,fever,nausea,muscle pain,fatigue
Hepatitis B,abdominal pain,jaundice,dark urine,fatigue,nausea,joint pain,
Dengue Fever,high fever,joint pain,muscle pain,vomiting,,,
Pneumonia,rapid breathing,cough,fever,chest pain,shortness of breath,chills,fatigue
Urinary Tract Infection,burning urination,cloudy urine,fever,pelvic pain,chills,frequent urination,
Gastroenteritis,stomach cramps,diarrhea,fever,,,,
Tuberculosis,coughing up blood,fever,fatigue,night sweats,chest pain,weight loss,
Diabetes,slow healing wounds,fatigue,blurred vision,weight loss,numbness in feet,,
Diabetes,excessive thirst,numbness in feet,fatigue,,,,
Typhoid,constipation,loss of appetite,headache,weakness,,,
Gastroenteritis,nausea,loss of appetite,fever,diarrhea,fatigue,stomach cramps,
Anemia,dizziness,shortness of breath,weakness,cold hands,fatigue,,
Hypertension,dizziness,shortness of breath,blurred vision,fatigue,chest pain,,
Arthritis,warmth in joints,fatigue,joint pain,,,,
Malaria,vomiting,headache,nausea,chills,fatigue,sweating,fever
Malaria,chills,fever,muscle pain,headache,fatigue,,
Common Cold,runny nose,mild fever,sore throat,fatigue,sneezing,congestion,
Pneumonia,fever,chills,shortness of breath,,,,
Hypertension,fatigue,dizziness,nosebleed,shortness of breath,headache,blurred vision,
Common Cold,sneezing,cough,runny nose,sore throat,fatigue,mild fever,congestion
Hypertension,fatigue,nosebleed,dizziness,,,,
Influenza,chills,runny nose,headache,body aches,fatigue,,
Gastroenteritis,fatigue,diarrhea,loss of appetite,fever,stomach cramps,nausea,
Migraine,fatigue,blurred vision,sensitivity to light,severe headache,vomiting,sensitivity to sound,nausea
Appendicitis,vomiting,severe abdominal pain,bloating,,,,
Gastroenteritis,vomiting,diarrhea,nausea,,,,
COVID-19,cough,loss of taste,body aches,,,,
Dengue Fever,severe headache,high fever,rash,muscle pain,,,
Hepatitis B,fatigue,abdominal pain,jaundice,joint pain,dark urine,nausea,vomiting
Appendicitis,fever,bloating,loss of appetite,severe abdominal pain,nausea,,
Dengue Fever,vomiting,muscle pain,nausea,high fever,rash,,
Common Cold,fatigue,sore throat,runny nose,sneezing,,,
Gastroenteritis,nausea,loss of appetite,stomach cramps,,,,
Malaria,sweating,vomiting,headache,,,,
Hepatitis B,dark urine,vomiting,abdominal pain,jaundice,,,
Migraine,vomiting,blurred vision,nausea,severe headache,fatigue,sensitivity to sound,
Urinary Tract Infection,burning urination,cloudy urine,pelvic pain,,,,
Measles,rash,sensitivity to light,fever,cough,,,
Urinary Tract Infection,chills,fever,pelvic pain,,,,
Pneumonia,shortness of breath,chills,rapid breathing,cough,fever,fatigue,
Influenza,cough,body aches,sore throat,headache,runny nose,fatigue,
Malaria,fever,vomiting,chills,headache,muscle pain,sweating,
Dengue Fever,fatigue,muscle pain,rash,joint pain,nausea,high fever,severe headache
Typhoid,loss of appetite,stomach pain,diarrhea,weakness,headache,,
Hepatitis B,abdominal pain,fatigue,vomiting,jaundice,dark urine,joint pain,
Arthritis,swelling,warmth in joints,fatigue,,,,
Dengue Fever,muscle pain,rash,vomiting,,,,
Common Cold,sneezing,congestion,mild fever,fatigue,cough,sore throat,
Anemia,dizziness,fatigue,weakness,shortness of breath,,,
Appendicitis,nausea,fever,vomiting,,,,
Influenza,headache,cough,chills,fever,,,
Pneumonia,rapid breathing,shortness of breath,fever,chills,cough,fatigue,chest pain
Arthritis,joint pain,fatigue,swelling,warmth in joints,stiffness,,
Common Cold,runny nose,sneezing,cough,congestion,fatigue,sore throat,mild fever
Asthma,shortness of breath,chest tightness,coughing,,,,
Chicken Pox,loss of appetite,rash,headache,,,,
Gastroenteritis,stomach cramps,diarrhea,vomiting,,,,
COVID-19,body aches,cough,loss of taste,fever,loss of smell,shortness of breath,fatigue
Pneumonia,rapid breathing,fatigue,shortness of breath,chest pain,cough,,
Hypertension,chest pain,nosebleed,blurred vision,,,,
Diabetes,slow healing wounds,numbness in feet,frequent urination,excessive thirst,blurred vision,weight loss,fatigue
Appendicitis,fever,loss of appetite,nausea,severe abdominal pain,vomiting,bloating,
Diabetes,weight loss,blurred vision,frequent urination,slow healing wounds,fatigue,numbness in feet,excessive thirst
Measles,rash,sensitivity to light,fever,fatigue,red eyes,cough,runny nose
Hypertension,fatigue,blurred vision,dizziness,shortness of breath,headache,,
Malaria,fatigue,nausea,vomiting,headache,,,
Urinary Tract Infection,cloudy urine,frequent urination,fever,chills,,,
Anemia,cold hands,shortness of breath,pale skin,weakness,dizziness,chest pain,fatigue
Measles,cough,runny nose,sensitivity to light,fatigue,,,
Tuberculosis,fever,night sweats,chest pain,coughing up blood,persistent cough,,
Common Cold,congestion,mild fever,runny nose,,,,
Diabetes,fatigue,frequent urination,numbness in feet,excessive thirst,,,
Arthritis,reduced range of motion,fatigue,warmth in joints,joint pain,stiffness,swelling,
Pneumonia,fever,cough,fatigue,chest pain,shortness of breath,chills,
Asthma,wheezing,chest tightness,shortness of breath,,,,
Dengue Fever,joint pain,severe headache,nausea,vomiting,,,
Gastroenteritis,stomach cramps,nausea,fatigue,vomiting,fever,diarrhea,loss of appetite
Typhoid,stomach pain,loss of appetite,weakness,,,,
Hypertension,nosebleed,shortness of breath,headache,chest pain,fatigue,blurred vision,dizziness
Typhoid,headache,weakness,stomach pain,rash,high fever,constipation,diarrhea
Tuberculosis,weight loss,fatigue,fever,persistent cough,,,
Malaria,sweating,fatigue,fever,nausea,vomiting,headache,chills
Anemia,fatigue,cold hands,pale skin,chest pain,shortness of breath,dizziness,weakness
COVID-19,fever,headache,cough,,,,
Arthritis,swelling,reduced range of motion,warmth in joints,,,,
COVID-19,shortness of breath,headache,fever,fatigue,body aches,cough,
Malaria,sweating,fatigue,muscle pain,nausea,chills,vomiting,
COVID-19,cough,loss of taste,shortness of breath,fever,loss of smell,headache,
Typhoid,stomach pain,high fever,constipation,diarrhea,loss of appetite,,
Chicken Pox,headache,itchiness,loss of appetite,,,,
Appendicitis,bloating,vomiting,fever,loss of appetite,nausea,severe abdominal pain,
Influenza,runny nose,fever,sore throat,headache,,,
Pneumonia,rapid breathing,chest pain,fatigue,,,,
COVID-19,loss of smell,cough,fatigue,,,,
Measles,red eyes,runny nose,cough,sensitivity to light,fever,rash,fatigue
Diabetes,excessive thirst,slow healing wounds,blurred vision,numbness in feet,,,
Chicken Pox,headache,loss of appetite,fatigue,rash,,,
Hypertension,fatigue,shortness of breath,blurred vision,nosebleed,dizziness,,
Measles,sensitivity to light,rash,runny nose,cough,red eyes,fatigue,fever
Measles,sensitivity to light,cough,rash,runny nose,red eyes,fatigue,fever
Typhoid,weakness,constipation,high fever,stomach pain,rash,loss of appetite,headache
Diabetes,numbness in feet,frequent urination,blurred vision,weight loss,slow healing wounds,fatigue,
Appendicitis,loss of appetite,vomiting,nausea,severe abdominal pain,bloating,,
Influenza,cough,sore throat,runny nose,chills,fatigue,body aches,fever
Typhoid,loss of appetite,weakness,stomach pain,diarrhea,headache,high fever,constipation
Pneumonia,fever,chills,fatigue,rapid breathing,cough,shortness of breath,
Measles,sensitivity to light,cough,fever,,,,
Common Cold,mild fever,sneezing,runny nose,sore throat,congestion,cough,fatigue
Anemia,cold hands,dizziness,weakness,shortness of breath,fatigue,,
Gastroenteritis,stomach cramps,fatigue,fever,,,,
Urinary Tract Infection,cloudy urine,chills,fever,,,,
